,OTU,Taxonomy,#SampleID,GROUP,Value
154,ASV0155,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL42,KLT,0
155,ASV0156,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL43,KLT,0
156,ASV0157,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL44,KRN,0
157,ASV0158,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL45,KRN,0
158,ASV0159,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL46,KRN,0
159,ASV0160,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL47,KRN,0
160,ASV0161,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL48,KLT,0
161,ASV0162,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL49,KLT,2
162,ASV0163,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL5,KLT,0
163,ASV0164,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL50,KLT,0
164,ASV0165,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL51,KRN,0
165,ASV0166,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL52,KLT,0
166,ASV0167,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL53,KRN,0
167,ASV0168,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL54,KLT,0
168,ASV0169,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL55,KRN,0
169,ASV0170,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL56,KLT,0
170,ASV0171,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL57,KLT,0
171,ASV0172,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL58,KRN,0
172,ASV0173,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL59,KRN,0
173,ASV0174,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL6,KRN,0
174,ASV0175,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL7,KRN,0
175,ASV0176,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL8,KRN,0
176,ASV0177,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanosphaera,SMPL9,KLT,0
177,ASV0178,Bacteria;?;?;?;?;?,SMPL0,KLT,0
178,ASV0179,Bacteria;?;?;?;?;?,SMPL1,KRN,0
179,ASV0180,Bacteria;?;?;?;?;?,SMPL10,KRN,0
180,ASV0181,Bacteria;?;?;?;?;?,SMPL11,KLT,0
181,ASV0182,Bacteria;?;?;?;?;?,SMPL12,KRN,0
182,ASV0183,Bacteria;?;?;?;?;?,SMPL13,KLT,0
183,ASV0184,Bacteria;?;?;?;?;?,SMPL14,KRN,0
184,ASV0185,Bacteria;?;?;?;?;?,SMPL15,KRN,1
185,ASV0186,Bacteria;?;?;?;?;?,SMPL16,KRN,11051
186,ASV0187,Bacteria;?;?;?;?;?,SMPL17,KLT,0
187,ASV0188,Bacteria;?;?;?;?;?,SMPL18,KRN,0
188,ASV0189,Bacteria;?;?;?;?;?,SMPL19,KRN,2
189,ASV0190,Bacteria;?;?;?;?;?,SMPL2,KLT,0
190,ASV0191,Bacteria;?;?;?;?;?,SMPL20,KLT,0
191,ASV0192,Bacteria;?;?;?;?;?,SMPL21,KRN,0
192,ASV0193,Bacteria;?;?;?;?;?,SMPL22,KLT,0
193,ASV0194,Bacteria;?;?;?;?;?,SMPL23,KRN,0
194,ASV0195,Bacteria;?;?;?;?;?,SMPL24,KLT,3
195,ASV0196,Bacteria;?;?;?;?;?,SMPL25,KRN,0
196,ASV0197,Bacteria;?;?;?;?;?,SMPL27,KRN,0
197,ASV0198,Bacteria;?;?;?;?;?,SMPL28,KLT,0
198,ASV0199,Bacteria;?;?;?;?;?,SMPL29,KLT,0
199,ASV0200,Bacteria;?;?;?;?;?,SMPL3,KLT,43819
200,ASV0201,Bacteria;?;?;?;?;?,SMPL30,KLT,0
201,ASV0202,Bacteria;?;?;?;?;?,SMPL31,KLT,0
202,ASV0203,Bacteria;?;?;?;?;?,SMPL32,KRN,0
203,ASV0204,Bacteria;?;?;?;?;?,SMPL33,KLT,0
204,ASV0205,Bacteria;?;?;?;?;?,SMPL34,KRN,0
205,ASV0206,Bacteria;?;?;?;?;?,SMPL35,KRN,0
206,ASV0207,Bacteria;?;?;?;?;?,SMPL36,KRN,157
207,ASV0208,Bacteria;?;?;?;?;?,SMPL37,KLT,0
208,ASV0209,Bacteria;?;?;?;?;?,SMPL38,KLT,0
209,ASV0210,Bacteria;?;?;?;?;?,SMPL39,KLT,0
210,ASV0211,Bacteria;?;?;?;?;?,SMPL4,KLT,185
211,ASV0212,Bacteria;?;?;?;?;?,SMPL40,KLT,3241
212,ASV0213,Bacteria;?;?;?;?;?,SMPL41,KRN,0
213,ASV0214,Bacteria;?;?;?;?;?,SMPL42,KLT,0
214,ASV0215,Bacteria;?;?;?;?;?,SMPL43,KLT,0
215,ASV0216,Bacteria;?;?;?;?;?,SMPL44,KRN,0
