Order	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Bacteria;Chloroflexi;TK10;bacterium Ellin6519	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;TK10;bacterium Ellin6543	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast	0	0	2	2	11	0	0	1	55	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	3	0	0	1
Bacteria;Cyanobacteria;Vampirivibrionia;Gastranaerophilales	0	7	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	0	126	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	134	0
Bacteria;Desulfobacterota;?;?	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Desulfobacterota;Desulfovibrionia;?	0	0	0	65	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	8	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	401	0
Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales	20	250	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	71	16	0	0	272	52	108	184	0	341	0	0	0	88	0	0	0	829	94	0	8	0	0	0	20	5	0	115	0	0	3	285	1	10	0	0	149	13
Bacteria;Firmicutes;?;?	9	10	6220	726	0	42	15	37625	146	194	96	215	401	26	243	788	16	222	1	660	398	19734	6790	7363	0	6643	1	1395	1481	0	20427	1	55	4	329	5	0	30	9	0	4	2	8977	5067	1	26	0	3	17	8	1968	0	18	5	9	62	13	585	6	5
Bacteria;Firmicutes;Bacilli;?	2794	280	132	6	3	1858	47	30	137	3148	511	56	413	415	2866	674	37	10503	598	881	253	2149	2	1134	20	31	6	2285	784	306	269	229	487	414	1588	0	0	317	64	72	63	41016	352	647	74	473	1478	9	6143	5613	3549	0	1052	307	2739	1311	2140	71	537	19
